NCT Number,Study Title,Study URL,Study Status,Conditions,Combinatorial Treatment,Interventions
NCT05809752,A First in Human Dose Escalation of Dendritic Cell Vaccine (DCV),https://clinicaltrials.gov/study/NCT05809752,Recruiting,Triple Negative Breast Cancer,Single agent,BIOLOGICAL: Dendritic Cell Vaccine
NCT06435910,Engineered Dendritic Cell Vaccines for Multiple Myeloma,https://clinicaltrials.gov/study/NCT06435910,Recruiting,Multiple Myeloma,Single agent,BIOLOGICAL: DC vaccines
NCT05504707,DecipHER Trial - DC1 Tx for Early-Stage TNBC and ER Low Positive Breast Cancer,https://clinicaltrials.gov/study/NCT05504707,Recruiting,Triple Negative Breast Cancer,Single agent,BIOLOGICAL: HER2 - primed Dendritic cells|BIOLOGICAL: HER3 - primed Dendritic cells
NCT04912765,Neoantigen Dendritic Cell Vaccine and Nivolumab in HCC and Liver Metastases From CRC,https://clinicaltrials.gov/study/NCT04912765,Recruiting,Hepatocellular Carcinoma,Nivolumab,BIOLOGICAL: Neoantigen Dendritic Cell Vaccine|DRUG: Nivolumab
NCT06253234,Safety and Efficacy Study for DC Vaccine in Recurrent or Progressive High-grade Gliomas,https://clinicaltrials.gov/study/NCT06253234,Recruiting,WHO Grade III/IV Gliomas,Single agent,BIOLOGICAL: personalized dendritic cell injection ZSNeo-DC1.1
NCT05773859,NEOadjuvant Dendritic Cell Vaccination for Ovarian Cancer,https://clinicaltrials.gov/study/NCT05773859,Recruiting,Ovarian Carcinoma,Single agent,BIOLOGICAL: XP-DC vaccinations
NCT05767684,Neoantigen Derived DCs as Cancer Treatment,https://clinicaltrials.gov/study/NCT05767684,Recruiting,Solid Tumor,Nivolumab,BIOLOGICAL: Dendritic Cell Vaccine|DRUG: Lenvatinib|DRUG: Nivolumab
NCT04879888,Personalized Vaccine for Cancer Immunotherapy,https://clinicaltrials.gov/study/NCT04879888,Completed,Breast Cancer,Single agent,BIOLOGICAL: Peptide pulsed Dendritic cell
NCT05964361,First-in-human Interleukin-15-transpresenting Wilms' Tumor Protein 1-targeting Autologous Dendritic Cell Vaccination in Cancer Patients,https://clinicaltrials.gov/study/NCT05964361,Recruiting,"Pancreas Cancer, Ovarian Cancer, Liver Cancer",Single agent,BIOLOGICAL: IL15-transpresenting WT1-targeted Dendritic Cell Vaccine
NCT05378464,Adoptive T Cell Therapy Following HER2-Pulsed Dendritic Cell Vaccine & Pepinemab /Trastuzumab in Patients w/ Metastatic HER2+ Breast Cancer,https://clinicaltrials.gov/study/NCT05378464,Recruiting,Breast Cancer,"Pepinemab, CAR-T",BIOLOGICAL: Dendritic Cell (DC1) Vaccine|DRUG: Trastuzumab|DRUG: Pepinemab|BIOLOGICAL: T-Cell therapy
NCT06152367,Immunization With Autologous Dendritic Cells and Tumor Lysates in Melanoma Patients,https://clinicaltrials.gov/study/NCT06152367,Completed,Stage III/IV Malignant Melanoma,Proleukin,BIOLOGICAL: TAPCells vaccine
NCT04911621,Adjuvant Dendritic Cell Immunotherapy for Pediatric Patients With High-grade Glioma or Diffuse Intrinsic Pontine Glioma,https://clinicaltrials.gov/study/NCT04911621,Active (not recruiting),High Grade Glioma,Temozolomide,BIOLOGICAL: Dendritic cell vaccination + temozolomide-based chemoradiation|BIOLOGICAL: Dendritic cell vaccination +- conventional next-line treatment
NCT05127824,Autologous Dendritic Cell Vaccine in Kidney Cancer,https://clinicaltrials.gov/study/NCT05127824,Recruiting,Renal Cell Carcinoma,Cabozantinib,BIOLOGICAL: Autologous alpha-DC1/TBVA vaccine|DRUG: Cabozantinib
NCT04999943,Hypomemylating Agents Combination With eDC Therapy for Elderly Patients With Myelodysplastic Syndrome,https://clinicaltrials.gov/study/NCT04999943,Recruiting,Myelodysplastic Syndromes,Single agent,BIOLOGICAL: DC vaccine
NCT05195619,Personalized DC Vaccines in Non Small Cell Lung Cancer,https://clinicaltrials.gov/study/NCT05195619,Recruiting,Non-small Cell Lung Cancer,Cyclophosphamide,BIOLOGICAL: Autologous dendritic cell vaccine loaded with personalized peptides (PEP-DC vaccine)|DRUG: Low dose cyclophosphamide
