NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type,Completion Date
NCT00402142,Dendritic Cell Vaccine in HIV-1 Infection,https://clinicaltrials.gov/study/NCT00402142,COMPLETED,HIV Infections,BIOLOGICAL: Dendritic cell vaccine|BIOLOGICAL: non pulsed dendritic cell untreated patients|BIOLOGICAL: pulsed dendritic cell vaccine|BIOLOGICAL: dendritic cell vaccine|BIOLOGICAL: non pulsed dendritic cell vaccine,Hospital Clinic of Barcelona,,INTERVENTIONAL,2011-12
NCT06193733,Dendritic Cell Vaccination to Prevent Hepatocellular Carcinoma Recurrence After Liver Resection-phase II Clinical Trial,https://clinicaltrials.gov/study/NCT06193733,NOT_YET_RECRUITING,Hepatocellular Carcinoma,BIOLOGICAL: Autologous Dendritic Cell,Chang Gung Memorial Hospital,,INTERVENTIONAL,2028-02
NCT01676779,mRNA Electroporated Autologous Dendritic Cells for Stage III/IV Melanoma,https://clinicaltrials.gov/study/NCT01676779,COMPLETED,Malignant Melanoma Stage III|Malignant Melanoma Stage IV,BIOLOGICAL: Dendritic cell therapy,Universitair Ziekenhuis Brussel,RIZIV,INTERVENTIONAL,2016-09
NCT01897207,Phase I/II Study of Vaccination With Antigen Loaded Dendritic Cells (DCs) in Hormone-Refractory Prostate Cancer,https://clinicaltrials.gov/study/NCT01897207,COMPLETED,Cancer of the Prostate,BIOLOGICAL: Dendritic cell application,Cantonal Hospital of St. Gallen,,INTERVENTIONAL,2011-10
NCT00796770,Vaccination of HIV-1 Infected Patients With Dendritic Cells in Addition to Antiretroviral Treatment - (DALIA Trial),https://clinicaltrials.gov/study/NCT00796770,COMPLETED,HIV,BIOLOGICAL: Dendritic Cell Vaccine,Baylor Research Institute,French National Agency for Research on AIDS and Viral Hepatitis,INTERVENTIONAL,2011-09
NCT00576537,Tumor Lysate Pulsed Dendritic Cell Immunotherapy for Patients With Brain Tumors,https://clinicaltrials.gov/study/NCT00576537,COMPLETED,Glioblastoma,BIOLOGICAL: Dendritic Cell Immunotherapy,Cedars-Sinai Medical Center,,INTERVENTIONAL,2011-10
NCT03450044,Immunogenicity and Safety of DCs in Breast Cancer,https://clinicaltrials.gov/study/NCT03450044,COMPLETED,Breast Cancer Female,BIOLOGICAL: Dendritic cells,Fundación Salud de los Andes,Universidad Nacional de Colombia|Instituto Colombiano para el Desarrollo de la Ciencia y la Tecnología (COLCIENCIAS),INTERVENTIONAL,2018-08
NCT03337165,Autologous Tolerogenic Dendritic Cells for Treatment of Patients With Rheumatoid Arthritis,https://clinicaltrials.gov/study/NCT03337165,COMPLETED,"Musculoskeletal Diseases|Joint Disease|Arthritis|Arthritis, Rheumatoid|Rheumatic Diseases|Connective Tissue Diseases|Autoimmune Diseases|Immune System Diseases",BIOLOGICAL: tolerogenic dendritic cells,Russian Academy of Medical Sciences,,INTERVENTIONAL,2019-08
NCT05809752,A First in Human Dose Escalation of Dendritic Cell Vaccine (DCV),https://clinicaltrials.gov/study/NCT05809752,RECRUITING,Leptomeningeal Disease|Triple Negative Breast Cancer|HER2-positive Breast Cancer,BIOLOGICAL: Dendritic Cell Vaccine,H. Lee Moffitt Cancer Center and Research Institute,United States Department of Defense,INTERVENTIONAL,2026-03
NCT01530698,Single-step Antigen Loading and TLR Activation of Dendritic Cells in Melanoma Patients,https://clinicaltrials.gov/study/NCT01530698,COMPLETED,Melanoma,BIOLOGICAL: autologous dendritic cell vaccine|BIOLOGICAL: autologous dendritic cell vaccine,Radboud University Medical Center,,INTERVENTIONAL,2014-11
NCT00445913,Autologous Dendritic Cell Therapy for Type 1 Diabetes Suppression: A Safety Study,https://clinicaltrials.gov/study/NCT00445913,COMPLETED,Type 1 Diabetes,BIOLOGICAL: Diabetes-suppressive dendritic cell vaccine|BIOLOGICAL: control dendritic cells,University of Pittsburgh,,INTERVENTIONAL,2016-02
NCT00125749,Vaccination of Patients With Stage IV Melanoma With Dendritic Cells,https://clinicaltrials.gov/study/NCT00125749,COMPLETED,Melanoma|Neoplasm Metastasis,BIOLOGICAL: Dendritic cell vaccination,Baylor Research Institute,Mary Crowley Medical Research Center|ODC Therapy,INTERVENTIONAL,2007-06
NCT00390338,Vaccine Therapy in Treating Patients With Stage III or Stage IV Melanoma,https://clinicaltrials.gov/study/NCT00390338,COMPLETED,Melanoma (Skin),BIOLOGICAL: polarized dendritic cells|BIOLOGICAL: non-polarized dendritic cells,Pawel Kalinski,National Cancer Institute (NCI),INTERVENTIONAL,2015-01
NCT00700167,Immune Responses To Antigen-Bearing Dendritic Cells in Patients With Malignancy,https://clinicaltrials.gov/study/NCT00700167,COMPLETED,Melanoma,BIOLOGICAL: dendritic cell vaccine,Memorial Sloan Kettering Cancer Center,National Cancer Institute (NCI)|National Institutes of Health (NIH)|Rockefeller University,INTERVENTIONAL,2011-04
NCT01197625,Vaccine Therapy in Curative Resected Prostate Cancer Patients,https://clinicaltrials.gov/study/NCT01197625,ACTIVE_NOT_RECRUITING,Prostate Cancer,BIOLOGICAL: Dendritic cell vaccine,Oslo University Hospital,,INTERVENTIONAL,2025-09
NCT01171729,Autologous Dendritic Cell Therapy for Hormone-Refractory Metastatic Prostate Cancer,https://clinicaltrials.gov/study/NCT01171729,COMPLETED,Prostatic Cancer,BIOLOGICAL: Autologous dendritic cell,Samsung Medical Center,"National Cancer Center, Korea",INTERVENTIONAL,2010-05
NCT05504707,DecipHER Trial - DC1 Tx for Early-Stage TNBC and ER Low Positive Breast Cancer,https://clinicaltrials.gov/study/NCT05504707,RECRUITING,Triple Negative Breast Cancer|HER2-negative Breast Cancer,BIOLOGICAL: HER2 - primed Dendritic cells|BIOLOGICAL: HER3 - primed Dendritic cells,H. Lee Moffitt Cancer Center and Research Institute,The Shulas' Foundation,INTERVENTIONAL,2025-10
NCT01431196,Trial With Autologous Dendritic Cell Vaccination in Patients With Stage II-III HER2 Negative Breast Cancer,https://clinicaltrials.gov/study/NCT01431196,COMPLETED,Stage II Breast Cancer|Stage III Breast Cancer,BIOLOGICAL: Autologous dendritic cell vaccination,"Clinica Universidad de Navarra, Universidad de Navarra",Spanish Clinical Research Network - SCReN|National Institutes of Health (NIH),INTERVENTIONAL,2013-12
NCT01677962,A Study of Vaccination With Poly-ICLC and Dendritic Cells in Patients With Pancreatic Adenocarcinoma,https://clinicaltrials.gov/study/NCT01677962,COMPLETED,Pancreatic Adenocarcinoma Non-resectable,BIOLOGICAL: Poly-ICLC|BIOLOGICAL: dendritic cell,Medical University of South Carolina,,INTERVENTIONAL,2016-05
NCT04552886,Dendritic Cell Vaccination With Standard Postoperative Chemoradiation for the Treatment of Adult Glioblastoma,https://clinicaltrials.gov/study/NCT04552886,COMPLETED,Glioblastoma,BIOLOGICAL: TH-1 Dendritic Cell Immunotherapy,The Cooper Health System,Baylor College of Medicine|Philadelphia College of Osteopathic Medicine,INTERVENTIONAL,2023-12-01
NCT00576446,Surgical Resection With Gliadel Wafer Followed by Dendritic Cells Vaccination for Malignant Glioma Patients,https://clinicaltrials.gov/study/NCT00576446,COMPLETED,Malignant Glioma,BIOLOGICAL: Dendritic cell Vaccine,Cedars-Sinai Medical Center,,INTERVENTIONAL,2012-05
NCT01006044,Efficacy & Safety of Autologous Dendritic Cell Vaccination in Glioblastoma Multiforme After Complete Surgical Resection,https://clinicaltrials.gov/study/NCT01006044,COMPLETED,Glioblastoma Multiforme,BIOLOGICAL: autologous dendritic cells,"Clinica Universidad de Navarra, Universidad de Navarra",,INTERVENTIONAL,2014-08
NCT00940004,Toll-like Receptor (TLR) Ligand Matured Dendritic Cell Vaccination in Melanoma Patients,https://clinicaltrials.gov/study/NCT00940004,COMPLETED,Melanoma,BIOLOGICAL: autologous dendritic cell vaccination,Radboud University Medical Center,,INTERVENTIONAL,2014-11
NCT01171469,Vaccination With Dendritic Cells Loaded With Brain Tumor Stem Cells for Progressive Malignant Brain Tumor,https://clinicaltrials.gov/study/NCT01171469,COMPLETED,Brain Tumor|Glioblastoma|Medulloblastoma|Ependymoma|Anaplastic Astrocytoma,BIOLOGICAL: Dendritic Cells|DRUG: Imiquimod,"Masonic Cancer Center, University of Minnesota",,INTERVENTIONAL,2012-06
NCT00323115,Phase II Feasibility Study of Dendritic Cell Vaccination for Newly Diagnosed Glioblastoma Multiforme,https://clinicaltrials.gov/study/NCT00323115,COMPLETED,Glioblastoma Multiforme,BIOLOGICAL: Autologous Dendritic Cell|DRUG: Temozolomide|PROCEDURE: Radiotherapy|BIOLOGICAL: Dendritic Cell Vaccine,Dartmouth-Hitchcock Medical Center,,INTERVENTIONAL,2013-07
NCT00847106,Augmentation of Dendritic Cell-Based Vaccines in Melanoma Patients by Depletion of Regulatory T Cells in Stage IV Melanoma Patients,https://clinicaltrials.gov/study/NCT00847106,COMPLETED,Melanoma,DRUG: Daclizumab|BIOLOGICAL: Dendritic cells,Radboud University Medical Center,Dutch Cancer Society,INTERVENTIONAL,2005-10
NCT04879888,Personalized Vaccine for Cancer Immunotherapy,https://clinicaltrials.gov/study/NCT04879888,COMPLETED,Breast Cancer Female,BIOLOGICAL: Peptide pulsed Dendritic cell,Universidad Nacional de Colombia,Fundación Salud de los Andes|Instituto Colombiano para el Desarrollo de la Ciencia y la Tecnología (COLCIENCIAS)|Subred Integrada de Servicios de Salud Sur ESE - Colombia (South America),INTERVENTIONAL,2017-07-30
NCT04105582,Breast Cancer Neoantigen Vaccination With Autologous Dendritic Cells,https://clinicaltrials.gov/study/NCT04105582,COMPLETED,Breast Cancer|Triple Negative Breast Cancer,BIOLOGICAL: Neo-antigen pulsed Dendritic cell,Universidad Nacional de Colombia,Fundación Salud de los Andes,INTERVENTIONAL,2022-02-01
NCT04115761,Evaluate the Efficacy and Safety of ADCV01 As an Add-On Treatment for Primary Glioblastoma Multiforme (GBM) Patients,https://clinicaltrials.gov/study/NCT04115761,RECRUITING,GBM,BIOLOGICAL: autologous dendritic cells,"Ever Supreme Bio Technology Co., Ltd.",,INTERVENTIONAL,2026-12-30
NCT00833781,A Pilot Study of a Dendritic Cell Vaccine in HIV-1 Infected Subjects,https://clinicaltrials.gov/study/NCT00833781,COMPLETED,HIV-1 Infection|HIV Infections,BIOLOGICAL: mRNA-transfected autologous dendritic cells|BIOLOGICAL: autologous dendritic cells with no mRNA transfection,Massachusetts General Hospital,National Institute of Allergy and Infectious Diseases (NIAID),INTERVENTIONAL,2013-12
NCT01413295,Randomized Trial With Dendritic Cells in Patients With Metastatic Colorectal Cancer,https://clinicaltrials.gov/study/NCT01413295,COMPLETED,Colorectal Neoplasms,DRUG: Dendritic Cell Vaccine|OTHER: Supportive treatment,Fundacion Clinic per a la Recerca Biomédica,,INTERVENTIONAL,2014-09
NCT01734564,Phase II Study With Hiltonol and Dendritic Cells in Solid Tumors,https://clinicaltrials.gov/study/NCT01734564,COMPLETED,Neoplasms,"BIOLOGICAL: Hiltonol and autologous dendritic cells|RADIATION: Hiltonol, dendritic cells and radiation","Clinica Universidad de Navarra, Universidad de Navarra",,INTERVENTIONAL,2016-12
NCT04590872,An Immunotherapy Vaccine (PIpepTolDC) for the Treatment of Patients With Type 1 Diabetes,https://clinicaltrials.gov/study/NCT04590872,RECRUITING,Type 1 Diabetes Mellitus,BIOLOGICAL: Tolerogenic Dendritic Cell Vaccine,City of Hope Medical Center,,INTERVENTIONAL,2024-12-10
NCT03726307,Allogeneic Regulatory Dendritic Cell (DCreg) Renal Study,https://clinicaltrials.gov/study/NCT03726307,RECRUITING,Kidney Transplant|Renal Transplant Recipients,BIOLOGICAL: DCreg: 0.5 million cells/kg+SOC|BIOLOGICAL: DCreg: 1.2 million cells/kg+SOC|BIOLOGICAL: DCreg:2.5 to 5.0 million cells/kg+SOC,National Institute of Allergy and Infectious Diseases (NIAID),University of Pittsburgh,INTERVENTIONAL,2025-07
NCT00243529,Peptide-pulsed vs. RNA-transfected Dendritic Cell Vaccines in Melanoma Patients,https://clinicaltrials.gov/study/NCT00243529,COMPLETED,Melanoma Stage III or IV,BIOLOGICAL: autologous dendritic cell vaccine,Radboud University Medical Center,Dutch Cancer Society,INTERVENTIONAL,
NCT03186118,Pilot Study of T-APCs Following CAR T Cell Immunotherapy for CD19+ Leukemia,https://clinicaltrials.gov/study/NCT03186118,ACTIVE_NOT_RECRUITING,CD 19+ Acute Leukemia,BIOLOGICAL: T-cell Antigen Presenting Cells expressing truncated CD19 (T-APC),Seattle Children's Hospital,,INTERVENTIONAL,2033-07
NCT00228189,Carcinoembryonic Antigen-loaded Dendritic Cells in Advanced Colorectal Cancer Patients,https://clinicaltrials.gov/study/NCT00228189,COMPLETED,Colorectal Cancer|Liver Metastases,BIOLOGICAL: CEA-loaded dendritic cell vaccine,Radboud University Medical Center,,INTERVENTIONAL,2010-11
